"title","writer","price"
"2019 전기공사산업기사 실기","김상훈 ","31,500원"
"2019 전기기사 실기","김상훈 ","28,800원"
"2019 전기산업기사 실기","김상훈 ","28,800원"
"제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판)","노경섭 ","28,000원"
"이산수학 : tool 중심으로 이해하는 새로운 시각","박두순 ","24,000원"
"IT CookBook, 따라 하면서 배우는 마이크로컨트롤러","허경용 ","28,000원"
"2019 전기기능사 필기","김정현 ","16,200원"
"2019 완벽분석! 사회조사분석사 2급 실기","노경섭 , 김성일 , 김기만 ","25,200원"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(4판)","우재남 , 박길식 ","29,000원"
"2019 완벽분석! 사회조사분석사 2급 필기","노경섭 , 김성일 , 김기만 ","27,000원"
"IT CookBook, 데이터베이스 개론(2판)","김연희 ","27,000원"
